,champion,counter,be_counter,combine_with
0,blitzcrank,"Morgana,Sona,Taric,Zilean","Karma,TahmKench,Veigar,Zyra,Neeko","Alistar,Leona,Morgana,Soraka,Thresh"
1,irelia,"Hecarim,Jax,Kennen,Malphite,Malzahar,Riven,Shen,Kled","Aatrox,Karthus,Ryze,Syndra,Viktor,Yorick","Kayle,Lissandra,Riven,Urgot,Vladimir,Yasuo,Zed"
2,ryze,"Ahri,Anivia,Annie,Aurelion Sol,Heimerdinger,Kayle,Malzahar,Morgana,Wukong,Vel'Koz,Viktor,Yasuo,Kled","Akali,Dr. Mundo,Mordekaiser,Illaoi","Ahri,Kayle,LeBlanc,Lissandra,Vladimir,Zed"
3,vayne,"Ashe,Jinx,Karthus,Malphite,Miss Fortune,Pantheon,Rengar,Teemo,Twitch","Cho'Gath,Darius,Dr. Mundo,Ezreal,Fiora,Garen,Kalista,Lucian,Tristana,Varus","Caitlyn,Ezreal,Kayle,Lucian,Urgot,Kai'Sa"
4,zyra,"Blitzcrank,Soraka,Taric,Vel'Koz,Xerath","Brand,Gragas,TahmKench,Veigar,Rakan","Blitzcrank,Morgana,Soraka,Thresh"
5,illaoi,"Heimerdinger,Kayle,Malzahar,Teemo,Vayne,Viktor","Cho'Gath,Dr. Mundo,Gnar,Rengar,Volibear,Sylas","Darius,Kayle,Riven,Urgot"
6,thresh,"Brand,Fiddlesticks,Morgana,Sona,Zilean,Neeko","Shen,TahmKench,Rakan,Braum,Pyke","Alistar,Blitzcrank,Galio,Morgana,Nami,Pyke"
7,janna,"Bard,Blitzcrank,Nami,Sona,Vel'Koz","Alistar,Galio,Poppy,Shen,TahmKench,Taric,Rakan","Morgana,Soraka,Thresh"
8,aatrox,"Graves,Hecarim,Karma,Kayle,Lux,Wukong,Nocturne,Rek'Sai,Riven,Vel'Koz,Sylas","Amumu,Cho'Gath,Diana,Karthus,Mordekaiser,Volibear,Xerath,Zac","Kayle,LeeSin,Urgot,Vladimir,Yasuo,Zed"
9,rell,Sona,Garen,
10,ashe,"Jinx,Miss Fortune,Sivir,Twitch","Caitlyn,Kalista,Lucian,Xayah,Jhin,Kai'Sa","Ezreal,Lucian,Vayne,Kai'Sa"
11,caitlyn,"Ashe,Jinx,Miss Fortune,Sivir,Twitch,Jhin","Kalista,Tristana,Xayah,Kai'Sa","Ezreal,Lucian,Vayne,Kai'Sa"
12,rumble,"Cho'Gath,Wukong,Olaf,Riven,Vayne,Viktor,Yorick,Ornn,Sylas","Aatrox,Malphite,Maokai,Mordekaiser,Shen,Singed,Volibear","Kayle,Riven,Urgot,Vladimir"
13,pyke,"Janna,Leona,Morgana,Taric,Thresh","Galio,Karma,TahmKench,Vel'Koz,Xerath","Alistar,Blitzcrank,Morgana,Soraka,Thresh"
14,lucian,"Ashe,Jinx,Miss Fortune,Twitch,Vayne,Neeko","Kalista,Tristana","Caitlyn,Ezreal,Vayne,Kai'Sa"
15,heimerdinger,"Ekko,Karthus,Kayle,Malzahar,Maokai,Morgana,Wukong,Vel'Koz,Yasuo","Akali,Fiora,Gnar,Kassadin,LeBlanc,Ryze,Shen,Neeko","Irelia,Kayle,LeBlanc,Vladimir,Zed"
16,viktor,"Aurelion Sol,Brand,Cho'Gath,Kassadin,Kennen,Olaf,Volibear,Zilean,Kled","Akali,Fiora,Karma,Lux,Ryze,Ornn,Neeko","Ahri,Kayle,Riven,Urgot,Yasuo,Zed"
17,galio,"Karma,Lux,Morgana,Pantheon,Sona,Soraka,Swain,Taric,Zilean,Kled","Akali,Gragas,Karthus,Kennen,Ryze,TahmKench","Alistar,Lissandra,Morgana,Thresh,Yasuo,Zed"
18,rakan,"Fiddlesticks,Morgana,Sona,Soraka,Zilean,Neeko","Alistar,Gragas,Poppy,TahmKench,Taric","Morgana,Soraka,Thresh"
19,lux,"Anivia,Aurelion Sol,Blitzcrank,Fiddlesticks,Kennen,Sona,Vel'Koz,Yasuo","Aatrox,Galio,Malphite,TahmKench,Veigar,Rakan,Braum,Sylas","Ahri,Blitzcrank,LeBlanc,Morgana,Soraka,Thresh,Zed"
20,anivia,"Ahri,Aurelion Sol,Malphite,Morgana,Vel'Koz,Zilean","Akali,Galio,Irelia,Jayce,Ryze,Swain,Vladimir","Ahri,Lissandra,Twisted Fate,Yasuo,Zed"
21,shyvana,"Kindred,Nunu,Rek'Sai,Skarner,Urgot,Camille,Ivern","Aatrox,Amumu,Gragas,Olaf,Pantheon,Sejuani","Graves,Jarvan IV,LeeSin,Master Yi,Xin Zhao"
22,rammus,"Karthus,Nunu,Shyvana,Ivern,Taliyah","Aatrox,Gragas,Kha'Zix,Wukong,Olaf,Poppy,Rengar,Riven,Skarner","Jarvan IV,LeeSin,Master Yi,Xin Zhao"
23,sylas,"Jax,Lux,Morgana,Riven,Sejuani,Kled,Illaoi,Taliyah","Aatrox,Akali,Malphite,Skarner,Camille,Neeko","Kayle,LeeSin,Lissandra,Vladimir,Yasuo,Zed"
24,amumu,"Fiddlesticks,Karthus,Shaco,Shyvana,Ivern,Taliyah","Evelynn,Wukong,Nunu,Rengar,Sejuani,Warwick","Jarvan IV,LeeSin,Master Yi,Xin Zhao"
25,ahri,"Fizz,Morgana,Ziggs,Zilean","Akali,Azir,Galio,Irelia,Karma,Malphite,Ryze,Syndra","Fizz,Kassadin,LeBlanc,Lissandra,Yasuo,Zed"
26,rengar,"Garen,Hecarim,Kayle,Master Yi,Rammus,Rek'Sai,Singed,Teemo,Urgot,Warwick,Illaoi","Gragas,Jayce,Nidalee,Skarner,Viktor,Yasuo,Camille","Jarvan IV,Kayle,LeeSin,Riven,Vladimir"
27,poppy,"Blitzcrank,Gangplank,Janna,Kayle,Malzahar,Wukong,Pantheon,Rammus,Rek'Sai,Sona,Udyr,Vladimir,Zilean","Aatrox,Brand,Fiora,Galio,Irelia,Nasus,Vel'Koz,Kayn,Camille,Sylas","Jax,Kayle,LeeSin,Renekton,Riven,Thresh,Urgot,Vladimir"
28,nami,"Bard,Blitzcrank,Leona,Lux,Zyra","Galio,Gragas,Poppy,Shen,TahmKench","Blitzcrank,Morgana,Soraka,Thresh"
29,masteryi,"Elise,Jax,Pantheon,Rammus,Shyvana,Udyr","Aatrox,Ekko,Fiddlesticks,Olaf,Rengar,Zac","Jarvan IV,LeeSin,Rammus,Xin Zhao"
30,wukong,"Fiddlesticks,Hecarim,Karthus,Olaf,Rammus,Tryndamere,Udyr,Volibear,Warwick,Taliyah","Aatrox,Dr. Mundo,Poppy,Riven,Ryze,Skarner,Urgot,Zac","Jarvan IV,Kayle,LeeSin,Riven"
31,jayce,"Karma,Malphite,Nasus,Olaf,Sion,Swain,Volibear,Yorick,Zilean","Akali,Fiora,Galio,Garen,Kennen,Ryze,Syndra","Irelia,Kayle,Vladimir,Yasuo,Zed"
32,lissandra,"Dr. Mundo,Karthus,Malphite,Maokai,Morgana,Swain,Vladimir,Zilean,Taliyah","Akali,Gnar,Irelia,Karma,LeBlanc,Malzahar,Ryze,Volibear","Ahri,Kayle,LeBlanc,Vladimir,Yasuo,Zed"
33,nidalee,"Nunu,Pantheon,Poppy,Rammus,Rengar,Riven,Udyr,Warwick","Aatrox,Gragas,Graves,Shaco,Urgot,Ivern","Elise,Graves,Jarvan IV,LeeSin,Xin Zhao"
34,kaisa,"Ashe,Jinx,Kog'Maw,Miss Fortune,Sivir,Twitch","Ezreal,Kalista,Tristana","Caitlyn,Ezreal,Jinx,Lucian,Vayne"
35,sejuani,"Amumu,Jarvan IV,Wukong,Rammus,Shyvana,Kayn,Ivern","Aatrox,Kha'Zix,Poppy,Rengar,Udyr,Sylas","Jarvan IV,LeeSin,Xin Zhao,Kayn"
36,karma,"Bard,Blitzcrank,Diana,Fiddlesticks,Janna,Karthus,Kennen,Lissandra,Morgana,Nautilus,Olaf,Quinn,Sona,Vel'Koz","Aatrox,Alistar,Fiora,Galio,Gnar,Gragas,Jayce,Lux,Poppy,Ryze,Shen,TahmKench,Yuumi","Lissandra,Morgana,Soraka,Thresh,Vladimir,Yasuo,Zed,Kled"
37,xayah,"Ashe,Jinx,Miss Fortune,Sivir,Twitch","Kalista,Tristana,Varus","Ezreal,Vayne,Kai'Sa"
38,leona,"Leona,Morgana,Sona,Zilean,Neeko","Gragas,Nautilus,Shen,TahmKench,Veigar,Rakan,Pyke","Blitzcrank,Morgana,Soraka,Thresh"
